TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
86,issf,brntin1,Brown Tinamou (castaneus),Crypturellus obsoletus castaneus,Tinamiformes,Tinamidae (Tinamous),,brotin1
86.5,issf,brntin2,Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group],Tinamiformes,Tinamidae (Tinamous),,brotin1
95,species,undtin1,Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous),,
102,species,pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous),,
103,species,bratin1,Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous),,
104,species,gyltin1,Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous),,
105,species,reltin1,Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous),,
113,species,yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous),,
113.2,issf,yeltin2,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele,Tinamiformes,Tinamidae (Tinamous),,yeltin1
113.4,issf,yeltin3,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,Tinamiformes,Tinamidae (Tinamous),,yeltin1
116,species,blctin1,Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous),,
119,species,slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous),,
122,species,chotin1,Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous),,
123,species,vartin1,Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous),,
124,species,thitin1,Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),,
124.2,issf,thitin2,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Tinamiformes,Tinamidae (Tinamous),,thitin1
124.4,issf,thitin3,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],Tinamiformes,Tinamidae (Tinamous),,thitin1
134,species,rustin1,Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),,
135,species,bartin2,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),,
136,species,smbtin1,Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),,
137,species,bartin1,Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous),,
138,species,tattin1,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),,
143,spuh,cryptu1,Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae (Tinamous),,
144,species,rewtin1,Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),,
148,species,huatin1,Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous),,
149,species,tactin1,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),,
150,species,orntin1,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),,
154,species,chitin1,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),,
157,species,brutin1,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),,
160,species,andtin1,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),,
168,species,cubtin1,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),,
171,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous),,
172,species,whbnot1,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),,
173,species,lesnot1,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),,
174,species,darnot1,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),,
180,species,sponot1,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),,
189,species,chanot1,Chaco Nothura,Nothura chacoensis,Tinamiformes,Tinamidae (Tinamous),,
190,species,dwatin1,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),,
191,species,elctin1,Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),,
202,species,quctin1,Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),,
205,species,puntin1,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),,
206,species,pattin1,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),,
207,spuh,tinamo1,tinamou sp.,Tinamidae sp.,Tinamiformes,Tinamidae (Tinamous),,
207.05,species,soucas1,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
207.1,species,dwacas1,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),,
207.15,species,norcas1,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),,
207.2,species,emu1,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),,
207.45,species,sobkiw1,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,
207.5,issf,sobkiw2,Southern Brown Kiwi (South I.),Apteryx australis australis,Apterygiformes,Apterygidae (Kiwis),,sobkiw1
207.55,issf,sobkiw3,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi,Apterygiformes,Apterygidae (Kiwis),,sobkiw1
207.6,species,okbkiw1,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),,
207.65,species,nibkiw1,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),,
207.7,species,liskiw1,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),,
207.75,species,grskiw1,Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis),,
208,species,horscr1,Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers),Screamers,
209,species,souscr1,Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers),,
210,species,norscr1,Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers),,
211,species,maggoo1,Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),Waterfowl,
212,species,spwduc1,Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
213,species,plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
214,species,wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
214.5,hybrid,x00721,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
215,species,bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
215.3,issf,bkbwhd1,Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,bbwduc
215.6,issf,bkbwhd2,Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,bbwduc
216,species,wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
216.5,hybrid,x00775,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
217,species,fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
217.2,hybrid,x00875,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
218,species,wawduc1,Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
222,species,lewduc1,Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
223,spuh,whistl1,whistling-duck sp.,Dendrocygna sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
224,species,whbduc1,White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
240,species,bahgoo,Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
253,species,empgoo,Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
254,species,snogoo,Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
259,species,rosgoo,Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
259.5,hybrid,sxrgoo1,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260,slash,y00469,Snow/Ross's Goose,Anser caerulescens/rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.05,species,gragoo,Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.1,issf,gragoo2,Graylag Goose (European),Anser anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
260.15,issf,gragoo3,Graylag Goose (Siberian),Anser anser rubrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
260.2,domestic,gragoo1,Graylag Goose (Domestic type),Anser anser (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.25,species,swagoo1,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.3,domestic,swagoo2,Swan Goose (Domestic type),Anser cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.35,hybrid,x00776,Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.4,species,gwfgoo,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.45,issf,gwfgoo4,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
260.5,issf,gwfgoo1,Greater White-fronted Goose (Greenland),Anser albifrons flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
260.55,issf,gwfgoo2,Greater White-fronted Goose (Western),Anser albifrons gambelli/frontalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
260.6,issf,gwfgoo3,Greater White-fronted Goose (Tule),Anser albifrons elgasi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
260.65,hybrid,x00755,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.7,hybrid,x00627,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.75,species,lwfgoo,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.8,slash,y00707,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.85,species,taibeg1,Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.9,species,tunbeg1,Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.92,slash,y00468,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.94,species,pifgoo,Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.96,domestic,domgoo1,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
260.98,spuh,anser1,Anser sp.,Anser sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
261,species,brant,Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
262,issf,dabbra1,Brant (Dark-bellied),Branta bernicla bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
264,issf,atlbra1,Brant (Atlantic),Branta bernicla hrota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
266,issf,blkbra1,Brant (Black),Branta bernicla nigricans/orientalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
266.7,form,gybbra1,Brant (Gray-bellied),Branta bernicla (Gray-bellied),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
266.8,intergrade,brant1,Brant (Atlantic x Black),Branta bernicla hrota x nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
267,hybrid,x00685,Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
268,species,bargoo,Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
268.2,hybrid,x00756,Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
268.4,hybrid,x00757,Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
268.5,hybrid,x00649,Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
271,species,cacgoo1,Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
272,issf,alcgoo1,Cackling Goose (Aleutian),Branta hutchinsii leucopareia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
273,issf,ricgoo1,Cackling Goose (Richardson's),Branta hutchinsii hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
274,issf,cacgoo2,Cackling Goose (minima),Branta hutchinsii minima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
276,issf,tacgoo1,Cackling Goose (Taverner's),Branta hutchinsii taverneri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
276.05,hybrid,x00831,Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.1,hybrid,x00692,Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.2,hybrid,x00694,Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.25,hybrid,x00722,Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.3,hybrid,x00414,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.6,hybrid,x00416,Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
277,species,cangoo,Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
278,issf,cangoo4,Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
281,issf,cangoo3,Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
284,issf,cangoo1,Canada Goose (canadensis Group),Branta canadensis [canadensis Group],Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
287.1,hybrid,swagoo3,Swan Goose (Domestic type) x Canada Goose (hybrid),Anser cygnoides (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.2,hybrid,x00650,Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.4,hybrid,x00415,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.5,hybrid,x00758,Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.6,hybrid,gragoo4,Graylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.65,hybrid,x00759,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.7,hybrid,x00197,Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.8,hybrid,x00693,Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.9,hybrid,x00417,Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
288,slash,y00470,Cackling/Canada Goose,Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
288.5,hybrid,y00765,Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
289,species,hawgoo,Hawaiian Goose,Branta sandvicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
290,species,rebgoo1,Red-breasted Goose,Branta ruficollis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
291,spuh,branta1,Branta sp.,Branta sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
292,spuh,goose1,goose sp.,Anser/Branta sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
293,species,cabgoo1,Cape Barren Goose,Cereopsis novaehollandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
294,species,freduc1,Freckled Duck,Stictonetta naevosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
295,species,buwgoo1,Blue-winged Goose,Cyanochen cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
296,species,mutswa,Mute Swan,Cygnus olor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
297,species,blkswa,Black Swan,Cygnus atratus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
298,species,blnswa2,Black-necked Swan,Cygnus melancoryphus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
299,species,truswa,Trumpeter Swan,Cygnus buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
300,hybrid,x00832,Mute x Trumpeter Swan (hybrid),Cygnus olor x buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
302,species,tunswa,Tundra Swan,Cygnus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
303,issf,tunswa1,Tundra Swan (Whistling),Cygnus columbianus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
304,issf,bewswa1,Tundra Swan (Bewick's),Cygnus columbianus bewickii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
304.3,intergrade,tunswa2,Tundra Swan (Whistling x Bewick's),Cygnus columbianus columbianus x bewickii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
304.5,hybrid,x00418,Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
305,slash,y00471,Trumpeter/Tundra Swan,Cygnus buccinator/columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
306,species,whoswa,Whooper Swan,Cygnus cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
306.5,hybrid,x00419,Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
306.7,slash,y00708,Tundra/Whooper Swan,Cygnus columbianus/cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
307,spuh,swan1,swan sp.,Cygnus sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
308,species,cosswa1,Coscoroba Swan,Coscoroba coscoroba,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
309,species,comduc1,Comb Duck,Sarkidiornis melanotos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
310,issf,comduc2,Comb Duck (Old World),Sarkidiornis melanotos melanotos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,comduc1
311,issf,comduc3,Comb Duck (South American),Sarkidiornis melanotos sylvicola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,comduc1
312,species,harduc1,Hartlaub's Duck,Pteronetta hartlaubii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
312.5,species,origoo1,Orinoco Goose,Oressochen jubatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
313,species,andgoo1,Andean Goose,Oressochen melanopterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
314,species,uplgoo1,Upland Goose,Chloephaga picta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
317,form,uplgoo2,Upland Goose (White-breasted),Chloephaga picta (White-breasted),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,uplgoo1
318,form,uplgoo3,Upland Goose (Bar-breasted),Chloephaga picta (Bar-breasted),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,uplgoo1
319,species,kelgoo1,Kelp Goose,Chloephaga hybrida,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
322,species,ashgoo1,Ashy-headed Goose,Chloephaga poliocephala,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
323,species,ruhgoo1,Ruddy-headed Goose,Chloephaga rubidiceps,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
324.5,spuh,chloep1,Chloephaga sp.,Chloephaga sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
325,species,egygoo,Egyptian Goose,Alopochen aegyptiaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
326,species,rudshe,Ruddy Shelduck,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
327,species,soashe1,South African Shelduck,Tadorna cana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
328,species,ausshe1,Australian Shelduck,Tadorna tadornoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
329,species,parshe1,Paradise Shelduck,Tadorna variegata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
330,species,comshe,Common Shelduck,Tadorna tadorna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
330.2,hybrid,x00876,Ruddy x Common Shelduck (hybrid),Tadorna ferruginea x tadorna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
331,species,radshe1,Radjah Shelduck,Tadorna radjah,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
334,species,creshe1,Crested Shelduck,Tadorna cristata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
335,species,spwgoo1,Spur-winged Goose,Plectropterus gambensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
